Serial Number,Product Name,Product Type,Price Per Unit (INR),Unit,Discount
1,Basmati Rice,Grains,180.00,kg,5%
2,Brown Rice,Grains,120.00,kg,5%
3,Wheat Flour,Grains,45.00,kg,5%
4,Quinoa,Grains,450.00,kg,5%
5,Oats,Grains,85.00,kg,5%
6,Barley,Grains,65.00,kg,5%
7,Millets,Grains,95.00,kg,5%
8,Semolina,Grains,55.00,kg,5%
9,Chickpea Flour,Grains,70.00,kg,5%
10,Rice Flour,Grains,60.00,kg,5%
11,Chicken Breast,Meat,320.00,kg,0%
12,Mutton,Meat,650.00,kg,0%
13,Pork,Meat,480.00,kg,0%
14,Chicken Thighs,Meat,280.00,kg,0%
15,Beef,Meat,550.00,kg,0%
16,Chicken Wings,Meat,250.00,kg,0%
17,Ground Turkey,Meat,420.00,kg,0%
18,Lamb,Meat,720.00,kg,0%
19,Coconut Oil,Oil,180.00,litre,15%
20,Olive Oil,Oil,650.00,litre,15%
21,Sunflower Oil,Oil,140.00,litre,15%
22,Mustard Oil,Oil,160.00,litre,15%
23,Sesame Oil,Oil,320.00,litre,15%
24,Groundnut Oil,Oil,150.00,litre,15%
25,Avocado Oil,Oil,800.00,litre,15%
26,Turmeric Powder,Spices,280.00,kg,0%
27,Red Chili Powder,Spices,350.00,kg,0%
28,Coriander Powder,Spices,220.00,kg,0%
29,Cumin Powder,Spices,450.00,kg,0%
30,Garam Masala,Spices,380.00,kg,0%
31,Black Pepper,Spices,850.00,kg,0%
32,Cardamom,Spices,2500.00,kg,0%
33,Cinnamon,Spices,420.00,kg,0%
34,Fresh Salmon,Sea Food,750.00,kg,0%
35,Prawns,Sea Food,650.00,kg,0%
36,Tuna,Sea Food,580.00,kg,0%
37,Mackerel,Sea Food,380.00,kg,0%
38,Pomfret,Sea Food,850.00,kg,0%
39,Crab,Sea Food,720.00,kg,0%
40,Lobster,Sea Food,1200.00,kg,0%
41,Almonds,Dry Fruits,1100.00,kg,2%
42,Walnuts,Dry Fruits,1350.00,kg,2%
43,Cashews,Dry Fruits,950.00,kg,2%
44,Pistachios,Dry Fruits,1650.00,kg,2%
45,Dates,Dry Fruits,420.00,kg,2%
46,Raisins,Dry Fruits,380.00,kg,2%
47,Dried Apricots,Dry Fruits,850.00,kg,2%
48,Fresh Tomatoes,Vegetables,35.00,kg,0%
49,Onions,Vegetables,25.00,kg,0%
50,Potatoes,Vegetables,22.00,kg,0%
